thread_id,summary
1,The email thread discusses the Master Termination Log and the need to investigate a CNG LDC (Hope Gas) termination and a $66 million settlement offer. Stephanie Panus sends out the Daily List and Master Termination Log for various dates. Kim Theriot requests her name and Melissa Murphy's name to be removed from the distribution list and adds several names to it. The thread also includes updates on terminations and valid terminations for various companies.
2,A lunch meeting has been scheduled for May 5th from 12:00 p.m. to 1:30 p.m. to discuss the ISDA and CSA Masters and Schedules. Attendees are asked to RSVP for catering purposes. Carol requests confirmation of attendees and adds three new members to the group. John confirms the lunch and suggests two additional names to include. Suzanne is asked to send an email to all credit group members. Carol and Sara express their attendance.
3,"Ben is updating a friend on his progress with business school applications and interviews at Columbia, Rice, Duke, and NYU. He mentions a trip to St. Barts for New Year's and plans for a party in the summer. He also mentions staying in touch and keeping his friend updated on the results of his applications."
4,"The recipient of the email thread initially expresses gratitude for the file received. However, they quickly realize that the data in the file is outdated and requests the current prices that are set daily at around 12:10 for the following day. They confirm their understanding and express appreciation for the update. The sender acknowledges the request and thanks the recipient for their understanding."
5,"The email thread discusses the long form confirm/MDEA agreement. Kay suggests distributing the agreement internally and to the cities, with an explanation that they are still considering it. Edward suggests looking into whether structuring the agreement as MDEA, agent for..., or as a covenant of financial support would be better for the longer term deal. Reagan asks if the issues have been incorporated into the agreement and if it can be sent to Marvin. Kay mentions that there are formatting challenges and lots that need to be fixed. Reagan lists some questions that may arise regarding liquidated damages, events of default and remedies, billing and payment netting, and miscellaneous terms."
6,"The email thread consists of four messages. The first email is a single word, ""dirty!!!!!"" without any context. The second email expresses surprise about the recipient having a girlfriend and asks if she shaves her legs. The third email asks for information about the recipient's upcoming big day and requests to be kept informed. The final email asks about the recipient's current location."
7,"Sara Shackleton sent an email to Jennifer Fraser about Canadian utilities, mentioning that they were almost ready to go but needed to check Canadian legal issues. Jennifer replied, urging Sara to send the ISDA out quickly. Sara then forwarded the email to Eleanor Fraser by mistake, who questioned if it was sent in error. Tanya Rohauer confirmed that it was sent to the wrong Fraser. Sara apologized for the confusion."
8,Scott and Cameron are unable to play golf due to other commitments. Jeff suggests playing on either Saturday or Sunday and Eldon will check for tee times. Nancy informs them that Eldon has rehearsals on both days but suggests other golf courses they could play at. Scott suggests playing on Saturday afternoon after his mandolin lesson. Jeff confirms the plan and mentions that Eldon will not be strict about keeping score.
9,"Erik asks Joe if there's a chance to rent a trailer tonight, mentioning it would cost $45 from Aztec. He also asks if Joe knows anyone who can get him a better price. Joe apologizes for the delay and explains he was busy. Ben joins the conversation, jokingly mentioning John Brown's financial situation. He agrees with Erik's plan. Ben then talks about his plans for the NYC Marathon, a wager, and his recent activities. He also mentions potential job offers and asks about Joe's recent travels."
10,"The email thread discusses the issue of showing investments in Trailblazer and Overthrust in the financial statements of NNG. Rod suggests explaining the impacts of these investments rather than redoing the financials. He clarifies that redoing the financials would involve separating out the components and re-preparing them as a legal entity, which is more time-consuming. The team agrees that it is an easy request if they can identify the impacts of the non-NNG items in the financials."
11,"The House of Lords ruled against Enron in the CATS litigation, requiring them to repay approximately $150 million plus interest and court costs. The Lords' decision was based on their interpretation of what rational businessmen intended, rather than the provisions of the contract. Lord Hoffman, the author of the primary opinion, stated that Enron was not entitled to relief under the contract because they were not ready to flow J-Block gas during the T-6 leak. The Lords also rejected Enron's submission for reimbursement of costs. There is no avenue for recourse as this is the court of last resort."
12,"Kevin A. Howard has been elected as the Vice President of ETS, TW, and NNG, effective November 12, 2001. His job description is Vice President of Commercial and Financial Transactions Support. He will be reporting directly to Rod. There is a need for new org charts and job descriptions for TW and NNG to include Kevin. Frazier requests clarification on Kevin's position and placement on the org charts. Miranda is responsible for preparing the new org charts, and Toby needs the material ASAP for posting."
13,"Citizens Utilities is selling off its non-telecommunications businesses, including Louisiana Gas Service (LGS). LGS needs a third party to operate the interconnect, metering, and pipeline facilities that connect TW and EPNG to the Griffith Energy Power Plant. Citizens has asked TW to consider making a proposal for operating these facilities. TW is interested and is willing to work with Citizens. There may be legal and regulatory considerations, but TW believes it can provide the services. Operations will handle the negotiation, and a joint budget will be created between Operations and Market Services."
